Financiera,Mes,Valor
SANTANDER,"Junio, 24",0.0
SCOTIABANK,"Junio, 24",0.0
SUMAFIN,"Junio, 24",0.0
BAJIO,"Junio, 24",0.0
KUNA,"Junio, 24",0.0
ABC,"Julio, 24",0.0
AFIRME,"Julio, 24",0.0
BANORTE,"Julio, 24",0.0
BBVA,"Julio, 24",0.0
ENSUEÑO,"Julio, 24",0.0
FINANMADRID,"Julio, 24",0.0
INBURSA,"Julio, 24",0.0
MSTART,"Julio, 24",0.0
NEXU,"Julio, 24",0.0
SANTANDER,"Julio, 24",0.0
SCOTIABANK,"Julio, 24",0.0
SUMAFIN,"Julio, 24",0.0
BAJIO,"Julio, 24",0.0
KUNA,"Julio, 24",0.0
ABC,"Agosto, 24",0.0
AFIRME,"Agosto, 24",0.0
BANORTE,"Agosto, 24",0.0
BBVA,"Agosto, 24",0.0
ENSUEÑO,"Agosto, 24",0.0
FINANMADRID,"Agosto, 24",0.0
INBURSA,"Agosto, 24",0.0
MSTART,"Agosto, 24",0.0
NEXU,"Agosto, 24",0.0
SANTANDER,"Agosto, 24",0.0
SCOTIABANK,"Agosto, 24",0.0
SUMAFIN,"Agosto, 24",0.0
BAJIO,"Agosto, 24",0.0
KUNA,"Agosto, 24",0.0
ABC,"Septiembre, 24",0.0
AFIRME,"Septiembre, 24",0.0
BANORTE,"Septiembre, 24",1.0
BBVA,"Septiembre, 24",12.0
ENSUEÑO,"Septiembre, 24",0.0
FINANMADRID,"Septiembre, 24",0.0
INBURSA,"Septiembre, 24",0.0
MSTART,"Septiembre, 24",0.0
NEXU,"Septiembre, 24",0.0
SANTANDER,"Septiembre, 24",1.0
SCOTIABANK,"Septiembre, 24",0.0
SUMAFIN,"Septiembre, 24",0.0
BAJIO,"Septiembre, 24",0.0
KUNA,"Septiembre, 24",0.0
ABC,"Octubre, 24",0.0
AFIRME,"Octubre, 24",0.0
BANORTE,"Octubre, 24",1.0
BBVA,"Octubre, 24",6.0
ENSUEÑO,"Octubre, 24",0.0
FINANMADRID,"Octubre, 24",0.0
INBURSA,"Octubre, 24",0.0
MSTART,"Octubre, 24",0.0
NEXU,"Octubre, 24",0.0
SANTANDER,"Octubre, 24",0.0
SCOTIABANK,"Octubre, 24",0.0
SUMAFIN,"Octubre, 24",0.0
BAJIO,"Octubre, 24",0.0
KUNA,"Octubre, 24",0.0
ABC,"Noviembre, 24",0.0
AFIRME,"Noviembre, 24",0.0
BANORTE,"Noviembre, 24",2.0
BBVA,"Noviembre, 24",10.0
ENSUEÑO,"Noviembre, 24",0.0
FINANMADRID,"Noviembre, 24",0.0
INBURSA,"Noviembre, 24",0.0
MSTART,"Noviembre, 24",0.0
NEXU,"Noviembre, 24",0.0
SANTANDER,"Noviembre, 24",0.0
SCOTIABANK,"Noviembre, 24",0.0
SUMAFIN,"Noviembre, 24",0.0
BAJIO,"Noviembre, 24",0.0
KUNA,"Noviembre, 24",0.0
ABC,"Diciembre, 24",0.0
AFIRME,"Diciembre, 24",0.0
BANORTE,"Diciembre, 24",4.0
BBVA,"Diciembre, 24",14.0
ENSUEÑO,"Diciembre, 24",0.0
FINANMADRID,"Diciembre, 24",0.0
INBURSA,"Diciembre, 24",0.0
MSTART,"Diciembre, 24",0.0
NEXU,"Diciembre, 24",0.0
SANTANDER,"Diciembre, 24",1.0
SCOTIABANK,"Diciembre, 24",0.0
SUMAFIN,"Diciembre, 24",0.0
BAJIO,"Diciembre, 24",0.0
KUNA,"Diciembre, 24",0.0
ABC,"Enero, 25",0.0
AFIRME,"Enero, 25",0.0
BANORTE,"Enero, 25",31.0
BBVA,"Enero, 25",4.0
ENSUEÑO,"Enero, 25",13.0
FINANMADRID,"Enero, 25",0.0
INBURSA,"Enero, 25",0.0
MSTART,"Enero, 25",0.0
NEXU,"Enero, 25",0.0
SANTANDER,"Enero, 25",35.0
SCOTIABANK,"Enero, 25",0.0
SUMAFIN,"Enero, 25",0.0
BAJIO,"Enero, 25",0.0
KUNA,"Enero, 25",0.0
ABC,"Febrero, 25",0.0
AFIRME,"Febrero, 25",0.0
BANORTE,"Febrero, 25",41.0
BBVA,"Febrero, 25",7.0
ENSUEÑO,"Febrero, 25",7.0
FINANMADRID,"Febrero, 25",0.0
INBURSA,"Febrero, 25",0.0
MSTART,"Febrero, 25",4.0
NEXU,"Febrero, 25",0.0
SANTANDER,"Febrero, 25",13.0
SCOTIABANK,"Febrero, 25",3.0
SUMAFIN,"Febrero, 25",0.0
BAJIO,"Febrero, 25",0.0
KUNA,"Febrero, 25",0.0
ABC,"Marzo, 25",0.0
AFIRME,"Marzo, 25",0.0
BANORTE,"Marzo, 25",31.0
BBVA,"Marzo, 25",3.0
ENSUEÑO,"Marzo, 25",7.0
FINANMADRID,"Marzo, 25",0.0
INBURSA,"Marzo, 25",0.0
MSTART,"Marzo, 25",9.0
NEXU,"Marzo, 25",0.0
SANTANDER,"Marzo, 25",40.0
SCOTIABANK,"Marzo, 25",0.0
SUMAFIN,"Marzo, 25",0.0
BAJIO,"Marzo, 25",0.0
KUNA,"Marzo, 25",0.0
ABC,"Abril, 25",0.0
AFIRME,"Abril, 25",0.0
BANORTE,"Abril, 25",16.0
BBVA,"Abril, 25",3.0
ENSUEÑO,"Abril, 25",1.0
FINANMADRID,"Abril, 25",0.0
INBURSA,"Abril, 25",0.0
MSTART,"Abril, 25",10.0
NEXU,"Abril, 25",0.0
SANTANDER,"Abril, 25",29.0
SCOTIABANK,"Abril, 25",0.0
SUMAFIN,"Abril, 25",0.0
BAJIO,"Abril, 25",0.0
KUNA,"Abril, 25",0.0
ABC,"Mayo, 25",0.0
AFIRME,"Mayo, 25",0.0
BANORTE,"Mayo, 25",44.0
BBVA,"Mayo, 25",9.0
ENSUEÑO,"Mayo, 25",4.0
FINANMADRID,"Mayo, 25",0.0
INBURSA,"Mayo, 25",0.0
MSTART,"Mayo, 25",8.0
NEXU,"Mayo, 25",0.0
SANTANDER,"Mayo, 25",9.0
SCOTIABANK,"Mayo, 25",2.0
SUMAFIN,"Mayo, 25",0.0
BAJIO,"Mayo, 25",0.0
KUNA,"Mayo, 25",0.0
ABC,"Junio, 25",0.0
AFIRME,"Junio, 25",0.0
BANORTE,"Junio, 25",47.0
BBVA,"Junio, 25",3.0
ENSUEÑO,"Junio, 25",6.0
FINANMADRID,"Junio, 25",0.0
INBURSA,"Junio, 25",0.0
MSTART,"Junio, 25",10.0
NEXU,"Junio, 25",0.0
SANTANDER,"Junio, 25",30.0
SCOTIABANK,"Junio, 25",0.0
SUMAFIN,"Junio, 25",0.0
BAJIO,"Junio, 25",0.0
KUNA,"Junio, 25",0.0
ABC,"Julio, 25",0.0
AFIRME,"Julio, 25",0.0
BANORTE,"Julio, 25",58.0
BBVA,"Julio, 25",6.0
ENSUEÑO,"Julio, 25",3.0
FINANMADRID,"Julio, 25",0.0
INBURSA,"Julio, 25",0.0
MSTART,"Julio, 25",10.0
NEXU,"Julio, 25",0.0
SANTANDER,"Julio, 25",22.0
SCOTIABANK,"Julio, 25",0.0
SUMAFIN,"Julio, 25",0.0
BAJIO,"Julio, 25",0.0
KUNA,"Julio, 25",0.0
ABC,"Agosto, 25",0.0
AFIRME,"Agosto, 25",0.0
BANORTE,"Agosto, 25",48.0
BBVA,"Agosto, 25",2.0
ENSUEÑO,"Agosto, 25",9.0
FINANMADRID,"Agosto, 25",0.0
INBURSA,"Agosto, 25",0.0
MSTART,"Agosto, 25",6.0
NEXU,"Agosto, 25",1.0
SANTANDER,"Agosto, 25",31.0
SCOTIABANK,"Agosto, 25",2.0
SUMAFIN,"Agosto, 25",0.0
BAJIO,"Agosto, 25",0.0
KUNA,"Agosto, 25",0.0
ABC,"Septiembre, 25",0.0
AFIRME,"Septiembre, 25",0.0
BANORTE,"Septiembre, 25",62.0
BBVA,"Septiembre, 25",6.0
ENSUEÑO,"Septiembre, 25",11.0
FINANMADRID,"Septiembre, 25",0.0
INBURSA,"Septiembre, 25",0.0
MSTART,"Septiembre, 25",14.0
NEXU,"Septiembre, 25",0.0
SANTANDER,"Septiembre, 25",27.0
SCOTIABANK,"Septiembre, 25",2.0
SUMAFIN,"Septiembre, 25",0.0
BAJIO,"Septiembre, 25",0.0
KUNA,"Septiembre, 25",0.0
ABC,"Octubre, 25",0.0
AFIRME,"Octubre, 25",0.0
BANORTE,"Octubre, 25",74.0
BBVA,"Octubre, 25",10.0
ENSUEÑO,"Octubre, 25",3.0
FINANMADRID,"Octubre, 25",0.0
INBURSA,"Octubre, 25",0.0
MSTART,"Octubre, 25",11.0
NEXU,"Octubre, 25",0.0
SANTANDER,"Octubre, 25",32.0
SCOTIABANK,"Octubre, 25",2.0
SUMAFIN,"Octubre, 25",0.0
BAJIO,"Octubre, 25",0.0
KUNA,"Octubre, 25",0.0
ABC,"Noviembre, 25",0.0
AFIRME,"Noviembre, 25",0.0
BANORTE,"Noviembre, 25",50.0
BBVA,"Noviembre, 25",16.0
ENSUEÑO,"Noviembre, 25",18.0
FINANMADRID,"Noviembre, 25",0.0
INBURSA,"Noviembre, 25",0.0
MSTART,"Noviembre, 25",15.0
NEXU,"Noviembre, 25",1.0
SANTANDER,"Noviembre, 25",16.0
SCOTIABANK,"Noviembre, 25",2.0
SUMAFIN,"Noviembre, 25",0.0
BAJIO,"Noviembre, 25",0.0
KUNA,"Noviembre, 25",0.0
ABC,"Diciembre, 25",0.0
AFIRME,"Diciembre, 25",0.0
BANORTE,"Diciembre, 25",69.0
BBVA,"Diciembre, 25",6.0
ENSUEÑO,"Diciembre, 25",3.0
FINANMADRID,"Diciembre, 25",0.0
INBURSA,"Diciembre, 25",0.0
MSTART,"Diciembre, 25",3.0
NEXU,"Diciembre, 25",0.0
SANTANDER,"Diciembre, 25",11.0
SCOTIABANK,"Diciembre, 25",0.0
SUMAFIN,"Diciembre, 25",0.0
BAJIO,"Diciembre, 25",0.0
KUNA,"Diciembre, 25",0.0
ABC,"Enero, 26",0.0
AFIRME,"Enero, 26",0.0
BANORTE,"Enero, 26",53.0
BBVA,"Enero, 26",7.0
ENSUEÑO,"Enero, 26",9.0
FINANMADRID,"Enero, 26",0.0
INBURSA,"Enero, 26",0.0
MSTART,"Enero, 26",12.0
NEXU,"Enero, 26",1.0
SANTANDER,"Enero, 26",26.0
SCOTIABANK,"Enero, 26",3.0
SUMAFIN,"Enero, 26",0.0
BAJIO,"Enero, 26",0.0
KUNA,"Enero, 26",0.0
ABC,"Febrero, 26",0.0
AFIRME,"Febrero, 26",0.0
BANORTE,"Febrero, 26",33.0
BBVA,"Febrero, 26",10.0
ENSUEÑO,"Febrero, 26",4.0
FINANMADRID,"Febrero, 26",0.0
INBURSA,"Febrero, 26",0.0
MSTART,"Febrero, 26",12.0
NEXU,"Febrero, 26",0.0
SANTANDER,"Febrero, 26",18.0
SCOTIABANK,"Febrero, 26",2.0
SUMAFIN,"Febrero, 26",0.0
BAJIO,"Febrero, 26",0.0
KUNA,"Febrero, 26",0.0
ABC,"Marzo, 26",0.0
AFIRME,"Marzo, 26",0.0
BANORTE,"Marzo, 26",33.0
BBVA,"Marzo, 26",12.0
ENSUEÑO,"Marzo, 26",3.0
FINANMADRID,"Marzo, 26",0.0
INBURSA,"Marzo, 26",0.0
MSTART,"Marzo, 26",9.0
NEXU,"Marzo, 26",0.0
SANTANDER,"Marzo, 26",25.0
SCOTIABANK,"Marzo, 26",1.0
SUMAFIN,"Marzo, 26",0.0
BAJIO,"Marzo, 26",0.0
KUNA,"Marzo, 26",0.0
ABC,"Abril, 26",0.0
AFIRME,"Abril, 26",0.0
BANORTE,"Abril, 26",33.0
BBVA,"Abril, 26",7.0
ENSUEÑO,"Abril, 26",1.0
FINANMADRID,"Abril, 26",0.0
INBURSA,"Abril, 26",0.0
MSTART,"Abril, 26",5.0
NEXU,"Abril, 26",0.0
SANTANDER,"Abril, 26",21.0
SCOTIABANK,"Abril, 26",3.0
SUMAFIN,"Abril, 26",0.0
BAJIO,"Abril, 26",0.0
KUNA,"Abril, 26",0.0
ABC,"Mayo, 26",0.0
AFIRME,"Mayo, 26",0.0
BANORTE,"Mayo, 26",34.0
BBVA,"Mayo, 26",11.0
ENSUEÑO,"Mayo, 26",8.0
FINANMADRID,"Mayo, 26",0.0
INBURSA,"Mayo, 26",0.0
MSTART,"Mayo, 26",11.0
NEXU,"Mayo, 26",0.0
SANTANDER,"Mayo, 26",18.0
SCOTIABANK,"Mayo, 26",0.0
SUMAFIN,"Mayo, 26",0.0
BAJIO,"Mayo, 26",0.0
KUNA,"Mayo, 26",0.0
ABC,"Junio, 26",0.0
AFIRME,"Junio, 26",0.0
BANORTE,"Junio, 26",15.0
BBVA,"Junio, 26",16.0
ENSUEÑO,"Junio, 26",8.0
FINANMADRID,"Junio, 26",0.0
INBURSA,"Junio, 26",0.0
MSTART,"Junio, 26",6.0
NEXU,"Junio, 26",0.0
SANTANDER,"Junio, 26",30.0
SCOTIABANK,"Junio, 26",0.0
SUMAFIN,"Junio, 26",0.0
BAJIO,"Junio, 26",0.0
KUNA,"Junio, 26",0.0
ABC,"Julio, 26",0.0
AFIRME,"Julio, 26",0.0
BANORTE,"Julio, 26",10.0
BBVA,"Julio, 26",3.0
ENSUEÑO,"Julio, 26",7.0
FINANMADRID,"Julio, 26",0.0
INBURSA,"Julio, 26",0.0
MSTART,"Julio, 26",1.0
NEXU,"Julio, 26",0.0
SANTANDER,"Julio, 26",7.0
SCOTIABANK,"Julio, 26",4.0
SUMAFIN,"Julio, 26",0.0
BAJIO,"Julio, 26",0.0
KUNA,"Julio, 26",0.0
